Review,Class
pésima experiencia alojamos días principio bien segundo dia gente super grosera tomamos mayor importancia puesto íbamos disfrutar tercer día moviles quedo habitación percatamos después rato sorprendió whatsapp línea rastreo veo hotel regresamos buscarlo obviamente reporte obviamente nadie vio única persona entró recamarera conexión whatsapp apaga sale turno siguiente conexión obviamente hotel lava manos contradicen dicen gente años chica hizo habitación dia tenia años disculpa ofrecieron peor entran revisar habitación mueven colchones infestado cucarachas ocea además ratera hace bien trabajo limpieza último día huéspedes acercó comento mismo problema robó obviamente recomendaría hotel lindo cerca mal personal además burlaban puesto pareja dos mujeres,1
hospedarse hotel experiencia única percibe nivel hotel alto instalaciones lobby restaurant terminando habitaciones atención personal excelente nota intención hacerte pasar cómoda estancia habitación piso bien aislada ruido puede agusto hotel todas comodidades hotel gran turismo ofrece condiciones poder trabajar oficina conexión wifi excelente gratis hospedan,5
solo pase tomar mojito bar abarrotado gente buena música vivo mojito malo cobraron bares mejor económico,2
visita parian disappointng debido artesanías baja calidad ofrecen variedad grande aunque textil cerámica cuero etc segmento bajo precio calidad,3
comida buena postres exquisitos atención mozos general buena mozo destacado antonio atento predispuesto servir incluso prepara bebidas naturales muchacho barra juan carlos quiere hacer,1
encantó visita mirada historia colombia bastante grande así recomiendo visitarlo primeras horas día,5
lugar categoría museo apto niños personas sensibles cosas impresionantes verdad recomiendo vas niños menores años sugiero leas veas imágenes internet ahí agradables vista impactante personas muertas llevamos bebé salimos min apto menores además lugar descuidado,1
ser edificio construcción redonda ruido lobby escucha todas habitaciones personal recepción atiende llamado solucionar temas graves recomiendo hotel,1
hotel fantástico relación calidad precio habitaciones ámplias limpias servicio perfecto desayuno variedad inmensa mucha cantidad mañana animación nocturna bastante aceptable plana hotel sala cañitas habitación piso vistas ciudad malecón mar increíbles además parece ser habitaciones inferiores planta humedad recomiendo puedes pide habitaciones pisos altos aventura vivir subirse ascensor hotel apto cardiacos balance personal bueno grupo quedó contento p;P,4
gran decepción comida valuada menu básico exceso ruido servicio regular instalaciones bonitas inspira pedir botella mesa problema viene mariachi grupo norteño empiezan tocar mismo tiempo,1
habitación amplia limpia atención personal buena servicio limpieza funcionó correctamente desayuno varias opciones normales servicio transporte evento funcionó correctamente,4
tres días hotel experiencia sido mala malísima dieron habitación ducharnos después largo viaje amiga pilar salió escaldada funcionaba agua fría cambiaron habitación tocó ducharme funcionaba agua caliente pelos suelo sucio pasaban mopa armarios encajaban puertas,1
perfecto vista espléndida mar mejor piscina habana recomendable super staff mejor siempre volvemos habitaciones amplias mejor desayuno magnifico hotel ahora internet ilimitado gratis hotel,5
aprendimos acerca historia cartagena audio visita castillo grande parece calle vimos larga cola comprar billetes luego vimos ventana audio tours vacío ahórrate minutos billetes comprar audio visita termine excursión pie directamente lado castillo mall conseguir helados bonito centro comercial residentes ciudad pocos pasos distancia,5
precioso padre solo cuidado vendedores engañan precios adentro llaman ofreciéndote ganga vas pagar dicen verdadero costo casi caigo varios extranjeros siendo timados lástima deja mal país cuantos,5
hicimos excursión ciudad excursión costa visitamos ciudad amurallada lugar interesante caminar visitar visitamos museo naval,4
nueva york quizás altas expectativas buena cocina sentimos decepcionados calidad comida lugar dólares persona cuba mejores restaurantes habana muchas celebridades visitado aquí dieron menú degustación dos tapas dos platos principales decir comida tan bueno esperábamos especialmente bueno platos principales postre sólo tapas bien,3
verdad gusto lugar gusto precio exagerado pareció exageración niego calidad inclusive mesero pareció bastante desentendido meso malo recomendaron lugar,4
luna miel lugar gozada principio preocupado boda increíblemente cerca spring break sorprendió encanta energía juvenil lugar atrae último comportamiento adolescentes puking borrachos estudiantes universitarios vista lugar familiar centrado mientras mundo gozando nadie hizo super tonto definitivamente volvería aquí abrir cerrar ojos,5
guacamole junto mesa fantástica selección cocina mexicana californiana mexicana buena selección vinos junto servicio atento afectuoso hicieron memorable,5
museo genial aprender acerca historia dorado españoles encontrar oro colombia bien bien decoradas zona rodea museo podrían ser peligrosos ten cuidado cosas dejes extraños tome fotografía perder equipo tiendas alrededor museo venden artículos oro esmeraldas buen lugar comprar tipo artículo probable perderás llegar vuelta esquina ladrones miradores siempre merodeando turistas comprar artículos ten cuidado alrededor zona museos montón artistas callejeros traer propia gente vez turistas rodeado robado ver museo salir zona,4
alojamos aquí parte unas vacaciones tres noches thomson exageración individual peor hotel alojado recepción agradable conducirá falsa sensación seguridad zona bar restaurante mal choque sales ascensor sucio malolientes habitaciones piedra regreso hotel desagradable benidorm ganga ninguna manera debe ser hotel estrellas cualquier parte mundo mejor suerte estrellas caja seguridad funcionaba cumplir parejas cuya caja fuerte funcionaba bien baños sucios ducha mound todas partes broma suficiente presión mantener,1
hotel buena ubicación gusta estacionamiento rápido acceso cercano centro hotel predilecto cada viajo puebla además habitaciones equipadas instalaciones eléctricas pensadas personas usamos computadora teléfono,4
museo común puedes observar infinitas obras históricas realizadas oro puedes tomarte café centro bogotá cerca lugares turísticos visitado 2013,4
comida tradicional cubana calidad complicaciones relación calida precio imbatible personal amabilísimo eficiente visitas centro histórico plena plaza catedral reserva antelación,5
lindas vistas ciudad pantallaso historia cartagena tarde haga calor,4
quiero decir primero resort contemplar llevaron suite master después tener esperar horas después registrarnos bien sentamos patio bebimos guay después almuerzo quedamos aquí 2006 saturada servicio excepcional rrestaurants piscina vez historia francamente sorprendida cuidadosamente planeado desgaste complejo sugerencia complejos desgaste formal desgaste complejo vimos personas dejaron entrar restaurante pesados jeans shorts molestó cosa agradable niños corriendo través restaurantes noche gusta niños complejo reglas niños habitaciones comedor después tiempo deberían honestía gusta intentando hablar marido noche romántica niños subiendo literalmente pasado pies mesa vino complejo descansar relajarse cambiar molesto parece ser coger cola perdiendo servicio bien conocido piscina aunque propina darle propina bar obtener bebidas vez chico awhile último año allí rellenaran inmediatamente alojé aquí das cuenta servicio hoteles superiores embargo ver equivocados habitación precioso servicio excepcional servicio limpieza cada noche servicio habitación perfecto poder pedir mimosas desayuno complejo fantástico harto perdido nivel servicio vez hacía premio diamante móviles supongo visitamos nueva dirección tomar hicimos través juego presentación multipropiedad decidimos 000 quería pagar alojarme hoteles arrancan world embargo ser justos roy hombre presentación venta difícil agradecieron volveremos algún día exictement vez complejo experiencia saber diferencia menos alojé nuevo gerente,2
grupo ieight reservado tour rep seguros podíamos esperar comida buena aun así recordar cuba platos disponibles experiencia total contraste pobreza ración tiendas disponibles habitantes zona comida cara comer cuba caro estándares británicos famosos comiendo allí mientras allí añadido ocasión,4
hotel grande lugares conocer solo dos noches dia aprovechamos conocer habana manera quiero aclarar lindo hotel vas pareja tan pocos dias caso aprovechas aprovechen buffets mismo edificio planta baja esquina manzana come bien barato aprovechen restaurants edificio come economico mejor afuera habana piso daba contrafrente ser llovia buena vista ciudad,3
peor restaurante calera cucaracahas goteras sitio precios exorbitantes vidrios rotos puede ocasionar accidente precios exagerados comida tan corriente personal indica servicio cliente paga dan,1
vagar largo agradable paseo plaza visitar fuente mármol ver antiguo monasterio,4
alojé aquí noches leído todas críticas decir necesitan comprender cuba europeo americano hotel estrellas puede ofrecer hotel viejo estancia amable dispuesto ayudar piso superior gran vista necesitas taxi habana vieja cuesta cuc creo esperas hotel estrellas moderno lujoso entonces mejor cuba camas limpias cada día toallas limpias frescas así problema feliz viaje,3
excelente ubicación servicio tranquilo mucha zona verde puede disfrutar plenitud ofrece hotel sugerencia restaurantes reservan noche deberían incluir menú infantil,5
pesar llegamos luz solventó enseguida demás genial habitación grande espaciosa actuaciones nocturnas agradables situación buena lado malecón zona habana vieja capitolio bufet desayuno abundante variado duda mas destacable personal hotel recepción camareros limpiadoras director hotel origen francés jean amabilidad invitarnos desayunar último día planta zona vistas impresionantes muchas gracias duda volveriamos,5
bien hotel limpio lugar ubicación excelente relación precio calidad dista ofrece habitaciones viejisimas pueden tener muebles amontonados siquiera tenian tarjeta internet precio sale buscar opciones,2
cambio último minuto puerto vallarta viaje así tiempo limitado investigar nuevo hotel salto parte parte críticas general mencionados aquí elegimos samba vallarta reservado colaborador compañero viaje compartido menos experiencias placenteras propiedad gran manera comenzar viaje veces sólo contento haberlo hecho jamás estrellas estrellas servicio ten cuenta medios estrellas cómo muchas comodidades resort habitaciones puede decir hotel viejo limpio comodidades básicas decentes champú gel baño jabón corporal quieres productos calidad traiga propio toallas baño piscina parecía nuevo par cajones difícil abrir cerrar suficiente espacio cosas balcón enorme habitaciones general bastante grandes insonorización habitaciones menos genial encanta escuchar bebé lado seguro encantó escuchar comida bastante preocupado comida fantástico desayuno veces sentimos atrajo puede ser exigente primera cosa mañana siempre huevos revueltos alubias par carne hash llaman guisos tortitas gofres tostadas fruta yogur señora fresco hecho huevos tortillas cierto desayunos carne cortó wieners recomiendo cambian favor almuerzo ensaladas fresca horno ladrillo pizza harán fresco quieres arroz joven diferentes carnes tortillas dos sopas diferentes verduras cena almuerzo mismo mucha verdura varias carnes elegir pescado siempre fantástico hicimos carta mexicana noche comida maravilla ninguno interesaban ambiente así molestamos volver música ayudaría ambiente estéril actividades siempre montón actividades aquellos participamos parecían tener buen tiempo sentarse relajarse caminar playa tipo gente espectáculos tarde bastante bien disfrutamos cosas dimos cuenta personal hace complejo salvador zona piscina simplemente increíble incluso exigente delicado margarita orden martin bar piscina bruno bar arriba islandia mostrador recepción personas sólo hizo vacaciones alegría seguro puede perder nombres siento cesar recepción westjet gran ayuda siempre tomaron tiempo hablar preguntar cómo haciendo volveremos samba personal razón buscando bien dirigido encantador pequeño hotel recomiendo encarecidamente samba vallarta,4
prepárate impresionado realmente maravillas caliente asi consecuencia vendedores así ofrecen primer bocado puedes negociar oferta mejor,5
gran ciudad visitar tan diferente gente amable experiencia increíble fácil caminar malecón animada noche lugar,5
servicio check check out tomaron dos horas tan grande complejo trasladarse carritos cuales suficientes mucha gente molesta esperando carritos voluntad mejorar así ocupación máxima comentamos personal ventas mencionando pierde día check real 20pm check out 00am real 00pm dijeron hotel sino club vacacional presumen categoría diamantes quién sobornaron instalaciones bonitas buen servicio personal pésimo traslado interno servicio valet parking,2
hotel buena ubicación trabajo zona industrial suerte toca piso alto puedes observar amanecer malinche atardecer volcanes suelen ser espectaculares además buen servicio personas atienden,4
varios pisos mismo deslumbras primer piso oro estatuas demás demás pisos misma cosa,3
súper bonito paseo subes barquito narrativa padrisima historia interésante fundidora impactante creo llega incertidumbre valdrá pena descuido general vale pena gusto,5
difícil encontrar restaurante caminamos lado lane calle principal casco antiguo ciudad escondido final calle enfrente centro comercial concurrido restaurante bastante concurrida lugareños servicio excelente decir comida normalita pasta mariscos simplemente correcto mole casa pollo bueno mejor restaurantes mole blanco pollo mole bastante bueno pollo seco licitación creo comida auténtica zona demás feliz locales personas allí supongo,3
peor visto sucio viejo desagradable solo pago efectivo pesar datafono pena familias niños menuda experiencia justifica sitio encuentra hubicado,1
hotel estupendo unas vistas servicio increíble desayuno incluido comida buena ubicado lado rambla junto mar malecón así usted fácil acceso habana vieja habana nueva prueba autobuses locales baratos taxis,5
lugar dejar visitar disfrute muchisimo mucha historia visite guia conto muchas cosas historia,4
actividad interesante todas edades ver cómo excelente pesar años habla bien cambiado ciudad tomamos estación acevedo llegar lugar pasar áreas difíciles recomienda tener cuidado principalmente anda niños mejor transporte confianza,4
lugar encuentro cubanos agradable paseo conseguir perspectiva ciudad agua mar azota pared edificios quebrantadas lado,5
hospedaje regular servicio baño habitación tenia problemas además ruido pasillos habitación frente elevadores ahí atrás hotel bien,3
hotel antiguo podría mejor habitaciones atención ubicación buena desayuno variado tocan piano detalle lindo resto bueno mejorar remodelen instalaciones,2
primer plato garbanzo carne picada albóndigas precios razonables demasiado llenas postre buena comida,5
alojamos noches cuarto piso habitación vistas bahía hotel recuerda películas días gángsteres famosos reunidos habana claramente cansados aún así grand tan bien cuidadas pueden ser impactados embargo habitación grande confortable cama cómoda suficiente cuarto baño inundado duchábamos parece estantería bañera echado tiempo agua ducha sale alrededor bañera suelo grupo misma experiencia así ser alertados internet lento pueden ser comprados hora día mit suficientemente rápido correos,3
atenta srta esmeralda rios buenas habitaciones familiar solo ojo area puente barco puente varios niños pudieron ahogar poner boyas seguridad hizo caso omiso niños saque hora esposa demas excelente,4
rico caro creo falta presentacion platillos ven vacios momento servirlos personal amable,4
ninguna servicio bueno calidad atención personas excelente buenos espacios niños playa cómoda limpia buena variedad comidas instalaciones,5
comida excelente servicio personal excelente mejor conserje davinson recomiendo vaya toda familia playa linda organizada,5
ciertamente hotel malo detalles servicio mantenimiento todas partes manchas pintura alfombras viajas aire acondicionado mal olor baños viejos sucios refrigeradores rotos blancos aroma raro servicios alimentos pesimos regreso nunca verdad,2
pena invertido arreglar reformar decrépito simplemente rótulo hotel mejor escaparate letras caídas piscina azulejos rotos moquetas sucias ascensores rotos habitaciones muebles rotos desconchados óxido peor cuarto baño óxido bañera cortinas plástico viejas fin mejor vistas desayuno ser cuba comparando varadero bien,2
comida especial pescado chilaquiles lujo quieren ver espectáculo serenata vayan jueves noche solo muchísima gente ruido serenata,5
lugar tomar mojito típico hacerse foto algún cuadro famosos música directo última planta resultó divertida animada prácticamente solos precio garitos turísticos caro,4
recorrido malecon observa gran paisaje vas alguien conozca puede contar breve historia edificios,4
disfrutamos cena especial chef consistía campos sabrosos sentamos interior ruidoso sentarse posible asegúrese mencionar alergias alimentos alérgico aguacate mencionó pedimos aún así aguacate,4
excelente servicio principio fin reciben ambiente cálido calidad comida hace explosión sabores paladar prueben arrepentirán delicias mar tierra fusionan experiencia irrepetible,5
excelente atención buena cocina hotel magnífica ubicación colaboradores dentro hotel muestran trato siempre gentil desprendido respetuoso hacia huésped podría mejorarse equipo planta física gimnasio,5
lugar agradable comer cenar alimentos considero nivel aceptable excelentes servicio lento falta cordialidad empleados,3
atención dedicada huésped necesita información tipo mejor desenvolvimiento turista comunicación ubicación hotel buena deben tener carros buscar aeropuerto turistas tener medio atención saludos sigan superandose,5
duda hotel joya arquitectónica lugar grato tiempos hoy día bien ubicado inmejorable lugar cuenta servicios básicos rebasado falta integral mantenimiento viejo equipamiento alfombras habitaciones hacen parezca sucio mal ojalá invierta remozamiento viejo merece trato,3
casco antiguo ciudad cartagena delicia gusta historia vaya seguro gente amable servicial parte memorable viaje fruta hermosa fruta madura tipo dónde puede conseguir pan coco,5
parece mundo baila mérida domingo gente youn abuelos hijos extraños bailando extraños plaza grande corazón ciudad romántica américa norte,5
solo museo botero tambien numismatica colecciones arte obras siglo xviii mismo sitio,5
bueno verm mundo murralla deberian decir verdad vez vender turistas cosas tan fofas,1
bueno tomar fotos lugar tradicional ven figuras dos comandantes resto plaza,3
experiencia súper agradable personal cartagena plaza camareras atentas siempre pendiente necesidades requerimientos habitaciones cómodas limpias comida súper deliciosa botones siempre atentos show divertido entretenido atención jeisson diligente prestó colaborar volveremos pronto,5
restaurante venden parada obligada visitas monterrey lugar excéntrico espejos candelabros animales disecados color dorado mires convirtiéndolo lugar único respecta comida servicio podría señalar ninguna,3
desayunar lugar bonito bien decorado pusieron terraza iban tener evento adentro seguía vacío anotan orden olvidaban platillos pan íbamos compartir entrada french toast,3
ubicación buena igual vista playa contrario esperaba resultó bastante limpia percibe sabor frescura insumos alimentos parte experiencia ofrece lugar propias granjas productoras carta limitada caso prefiero nota esmero cada platos preparan precios arriba promedio restaurantes cercanos llegan ser exagerados desconozco debió solo salón disponible fecha visité resto restaurante encontraba remodelación único razón otorgo evaluación alta sugerencia siguieran manteniendo precios hace competitivos duda regresaría lugar debes visitar veracruz fanático buen comer,4
lugar comida casual estilo napolitano agradable sencillez extraordinaria calidad pizzas variadas quesos ensaladas ravioles pastas excelentes preparado mano momento horno leña delicia atención dueño mario asistentes esmerada,5
pasé semanas hotel agosto septiembre planta vistas piscina habitación limpia dos camas individuales teléfono aire acondicionado realmente necesario temperatura días caen grados noche siempre montón agua caliente desayuno montón opciones mundo cena montón opciones bien pasar días comí hoteles cerca zona vieja cenas piscina gran lugar refrescarse habana vieja casi cada día encontramos pocas puertas distancia entrada hotel costo,3
decepcionante camareros camareras cansado nadie quería servirle acabado excepto pequeño bar esquina importa lleno montón turistas pueden disfrutar vida nocturna puedes esperar promesas hechas thumbed folletos,2
restaurante inferiores tarifa primero ofrecen fresco comida menú pizarra difícil leer gente sentados delante entonces realidad ensalada marisco pieza langosta camarones difícil trozos pescado shark pasta casera paella pobre gusto carne demasiada salsa escaleras asientos azotea servicio bueno podría compensar fiasco culinario,3
van bogota puede dejar pasar museo piezas increíbles comprender sociedades precolombinas tenia uso oro damos sociedad actual,5
museo alcance interesante exposiciones casa hermosa artista,5
puedes guanajuato subir lugar contemplar espectacular vista ciudad personal creo atardecer dando sol frente catedral empezar ver encienden iluminaciones ciudad,5
plazas ciudades italianas plaza vieja llena cafés caros cuantos mendigos así alerta recomiendo paseo través asegúrate ver escultura mujer gallo cámara oscura,3
desayunar atención recepción bastante bien vieja instalaciones especialmente alfombras acabados percibe dejo humedad alberca incluso pena verla sucia vieja,3
paseo obligado cartagena ciudad amurallada mágica huele demasiado feo cloaca siempre lleno gente partes iluminación dan miedo,3
falta árboles cualquier sombra adicional pasarela concreto suele lleno gente después sol tarde día día dijeron taxista junto calle lugar chicos lesbianas reunirse taxista dijo podría ser peligroso caminar hacia allí después atardecer así ten cuidado vayas usted mismo,4
pena visitar pais yvisitar lugares traen lindos recuerdos poder disfrutar linda noche comienzan cerrar establecimientos ciudad oscura muriera lugar tan lindo bien triste poder disfrutar rato mas plaza vieja,1
muchas expectativas respecto lugar habana especialidad mojito embargo rico mucha agua además cuesta cuc lugar bonito cómodo único puedo rescatar,2
gusta comida italiana auténtica definitivamente lugar perfecto reservar anticipación lugar pequeño puede ser romántico amigos vale pena gusto postres,4
mejor hotel ubicación pocos minutos centro habana habana vieja puedes andando sitios hotel antiguo bien conservado estilo andaluz numerosas imágenes sevilla andalucia general habitaciones correctas dos camas garndes colchones buenos limpieza general bien ser antiguo hotel sensacion mal general bien buena televisión huele humedad camareras habitación agobian malditas propinas funcionaba ascensor habia manera poder bajar subir bajas escaleras personal parece retrocedes 100 años precios cafeteria increiblemente caros precios,4
escribir lugar bueno servicio atención buenos precios ubicación calidad buenas porciones etc verdad lugar bastante recomendable comer puebla,4
mal música parecía buena incluso selecciones malos guantanamera dos gardenias pará bar hemingway bebido importó bebimos así prestamos atención,2
personal bueno aquí falta formación restaurante menores personal parece pasaba resultado mala experiencia punto sentimos broma cuenta reserva así sabía mesa allí triste cierto servicio malo completamente llegamos allí nadie dio menús así comparten dos menús toda tabla pedimos unas bebidas inmediato esperar minutos cerveza mojito minutos zumos fruta sofisticado aperitivos pedimos diferentes cuatro sirvieron momento completamente olvidado raro tomó menos minutos compara minutos esperábamos platos principales ordenados mismo tiempo entrantes minutos tarde servidor llegó preguntar cómo quieres hamburguesa hecho cómo quieres carne hecho etc minutos después orden entrantes suficiente decir tardaron total min servir entrantes fijas menú alojan tiempo espera risa aquellos tomó doble triple tiempo mayoría cosas pedimos además hecho dos zumos derramada dos buena ducha blackberry mesa luego cambiaron pedir contrario importa disculpan gerente jefe servidores vino mesa pedimos disculpas incidente excesivo tiempo tomó cada cosa pedimos supuesto incluso incluyen propina factura nadie ofrece cualquier disculpa siquiera descuento zumo vertido chaquetas pantalones pagará ninguna propina verdadero triste tener servicio tan malo experimente doloroso tiempo espera total casi horas toda comida pedir bebidas diferentes mayoría zumos frutas entrantes aperitivos izquierda curiosidad postre honestamente quería pasar minuto esperando esperando así aplaudimos chef mayoría platos geniales presentación ordenada así quieres probar buena comida disfrutar horas paciencia esperar importa mal servicio entonces puede ser lugar,2
acabo regresar cuba quedamos unas noches melia cohiba situado justo centro ciudad corto paseo taxi suite maravilla salón cuarto baño ducha dormitorio enorme baño vestidor privado visitamos ciudad cada día luego volvimos laicos preciosa piscina tarde habitación incluido desayuno cada día servía restaurante tipo buffet amplia selección tomamos aperitivos bar piscina caro noche cenamos pizzería excelente buena relación calidad precio,4
volví hermoso lugar después años volvió impresionar aquella vez lamentablemente terrible cómo convirtieron senderos caminaron habitantes mercadillo barato gritos insistentes ofertas transgrediendo silencio respeto debería haber lugar carteles cada monumento sucios desgastados modo guía entiende básico frente pagar entrada fila interminable solamente dos personas ventanillas vas auto cancun peaje caro visto 250 pesos mexicanos ida vuelta apenas pasas peaje policia ïnvita estaciones comprar pequeña oficina entradas chichen itzá pretendían cobrarnos dólares cada doble sale ventanilla varias personas cayeron trampa,3
buen hotel atención maravillosa personal amable atento comida rica todas áreas habitaciones limpias buena experiencia hospedarse hard rock,5
agua chaya rica repites repites lugar cálido buena atención señora ésta haciendo tortillas linda amable puedas imaginar tratan bien turista nacional comida,4
familia puente marzo año pesar problemas reservación pudieron resolver demás excelente personal atento servicial trataron reyes comida excelente habitaciones limpias cómodas hotel nuevo alberca calefacción así agua rica agradezco staff noé luis lupita capitán meseros atento bueno hotel último lado norte playa flamingos así tranquilo excelente familias niños pequeños facinar alberca vamos volver,5
peor servicio camarero grosero jefe interesa comida buena experiencia general fracaso absoluto,1
